"Philippine Total Trade, Imports, Exports, and Balance of Trade in Goods by Month and Year: 1991-2024P"

"Year","Month","Exports","Imports"
"1991","Jan",635.57,950.41
"1991","Feb",662.65,1094.81
"1991","Mar",742.13,1076.87
"1991","Apr",709.70,896.52
"1991","May",688.51,983.15
"1991","Jun",767.70,937.91
"1991","Jul",793.50,1025.69
"1991","Aug",741.20,967.43
"1991","Sep",764.46,988.48
"1991","Oct",756.88,1023.15
"1991","Nov",751.08,1110.04
"1991","Dec",826.13,996.90
"1991","Total",8839.51,12051.36
"1992","Jan",662.37,1037.69
"1992","Feb",714.90,1032.51
"1992","Mar",898.46,1164.81
"1992","Apr",666.45,1196.81
"1992","May",811.71,1186.29
"1992","Jun",835.57,1088.95
"1992","Jul",851.13,1166.41
"1992","Aug",913.09,1399.19
"1992","Sep",873.34,1335.70
"1992","Oct",860.36,1330.79
"1992","Nov",824.14,1255.04
"1992","Dec",912.80,1324.72
"1992","Total",9824.31,14518.93
"1993","Jan",790.44,1183.58
"1993","Feb",842.71,1181.68
"1993","Mar",842.46,1390.57
"1993","Apr",861.73,1504.00
"1993","May",932.14,1460.29
"1993","Jun",914.44,1335.13
"1993","Jul",998.17,1553.48
"1993","Aug",994.50,1512.67
"1993","Sep",1018.30,1565.59
"1993","Oct",1012.52,1654.69
"1993","Nov",1163.36,1682.74
"1993","Dec",1004.05,1572.98
"1993","Total",11374.81,17597.40
"1994","Jan",951.62,1650.56
"1994","Feb",927.01,1349.04
"1994","Mar",1057.67,1599.52
"1994","Apr",965.79,1775.99
"1994","May",1083.86,1810.36
"1994","Jun",1125.27,2041.89
"1994","Jul",1217.56,1768.46
"1994","Aug",1178.01,1728.14
"1994","Sep",1239.74,1967.95
"1994","Oct",1299.34,1886.76
"1994","Nov",1128.46,1860.74
"1994","Dec",1308.55,1893.13
"1994","Total",13482.90,21332.57
"1995","Jan",1160.75,1855.58
"1995","Feb",1263.77,1615.89
"1995","Mar",1298.58,2142.54
"1995","Apr",1377.42,2229.56
"1995","May",1400.58,2143.63
"1995","Jun",1521.69,2328.66
"1995","Jul",1592.69,2175.49
"1995","Aug",1591.45,2273.59
"1995","Sep",1594.97,2444.22
"1995","Oct",1601.65,2342.36
"1995","Nov",1422.63,2414.72
"1995","Dec",1621.01,2571.39
"1995","Total",17447.19,26537.63
"1996","Jan",1420.45,2236.09
"1996","Feb",1594.01,2359.58
"1996","Mar",1670.60,2760.47
"1996","Apr",1491.87,2811.15
"1996","May",1612.18,2712.35
"1996","Jun",1793.39,2750.55
"1996","Jul",1693.69,2838.70
"1996","Aug",1773.89,2799.68
"1996","Sep",1875.57,2870.06
"1996","Oct",1883.71,2858.51
"1996","Nov",1849.91,2711.55
"1996","Dec",1883.27,2718.24
"1996","Total",20542.55,32426.93
"1997","Jan",1692.26,2837.89
"1997","Feb",1812.42,2626.54
"1997","Mar",2001.02,2935.16
"1997","Apr",2082.43,2942.08
"1997","May",1982.88,2954.37
"1997","Jun",2129.08,3032.34
"1997","Jul",2067.14,3169.20
"1997","Aug",2257.97,3327.94
"1997","Sep",2337.47,2956.48
"1997","Oct",2326.05,3413.80
"1997","Nov",2308.43,2945.29
"1997","Dec",2230.56,2792.73
"1997","Total",25227.70,35933.82
"1998","Jan",2114.81,2837.90
"1998","Feb",2227.20,2585.23
"1998","Mar",2474.18,2613.60
"1998","Apr",2284.50,2457.46
"1998","May",2414.74,2624.02
"1998","Jun",2389.57,2260.74
"1998","Jul",2501.37,2465.59
"1998","Aug",2652.45,2508.47
"1998","Sep",2786.32,2454.45
"1998","Oct",2542.30,2417.41
"1998","Nov",2585.82,2373.40
"1998","Dec",2523.08,2061.61
"1998","Total",29496.35,29659.89
"1999","Jan",2580.78,2399.85
"1999","Feb",2569.33,2256.56
"1999","Mar",2702.33,2656.30
